№,Секунда,Микросекунда
1,39,390052
2,39,401034
3,39,412005
4,39,422976
5,39,433999
6,39,445070
7,39,455993
8,39,466967
9,39,477152
10,39,487355
11,39,498418
12,39,508642
13,39,518808
14,39,528883
15,39,539962
16,39,550127
17,39,561058
18,39,571263
19,39,582330
20,39,592514
21,39,603004
22,39,614076
23,39,625047
24,39,636123
25,39,646257
26,39,657274
27,39,668346
28,39,678530
29,39,688915
30,39,699902
31,39,710911
32,39,721877
33,39,732075
34,39,742168
35,39,752367
36,39,762673
37,39,773647
38,39,784618
39,39,794800
40,39,804889
41,39,815946
42,39,826168
43,39,837143
44,39,847394
45,39,857853
46,39,868827
47,39,879893
48,39,890868
49,39,901838
50,39,912064
51,39,922941
52,39,933179
53,39,943352
54,39,954344
55,39,965351
56,39,975539
57,39,985610
58,39,996604
59,40,7579
60,40,17912
61,40,28243
62,40,39349
63,40,49618
64,40,59753
65,40,69956
66,40,80194
67,40,91211
68,40,102181
69,40,112361
70,40,122455
71,40,133557
72,40,143920
73,40,154935
74,40,165964
75,40,176935
76,40,187907
77,40,198912
78,40,209936
79,40,220861
80,40,231204
81,40,241349
82,40,251487
83,40,261693
84,40,272043
85,40,283176
86,40,293495
87,40,303754
88,40,313922
89,40,324008
90,40,334320
91,40,345303
92,40,355506
93,40,366477
94,40,376658
95,40,387629
96,40,398606
97,40,408745
98,40,419658
99,40,430645
100,40,441615
101,40,452591
102,40,463561
103,40,474552
104,40,485522
105,40,496493
106,40,507463
107,40,518434
108,40,529404
109,40,540375
110,40,551361
111,40,562327
112,40,573298
113,40,584268
114,40,595243
115,40,606213
116,40,617193
117,40,628164
118,40,639175
119,40,649430
120,40,659536
121,40,669734
122,40,679831
123,40,690802
124,40,701157
125,40,711389
126,40,721440
127,40,731670
128,40,741895
129,40,751967
130,40,762479
131,40,772630
132,40,783682
133,40,793947
134,40,804079
135,40,815156
136,40,825228
137,40,836199
138,40,847167
139,40,857365
140,40,867632
141,40,878712
142,40,889679
143,40,899770
144,40,910741
145,40,921743
146,40,932717
147,40,943748
148,40,953850
149,40,964130
150,40,974188
151,40,984404
152,40,994709
153,41,5019
154,41,15282
155,41,25372
156,41,36251
157,41,46370
158,41,57345
159,41,68417
160,41,78635
161,41,88806
162,41,99841
163,41,110140
164,41,121016
165,41,132026
166,41,142311
167,41,153304
168,41,164300
169,41,174447
170,41,184604
171,41,194776
172,41,205760
173,41,216088
174,41,226953
175,41,237070
176,41,247361
177,41,258355
178,41,269350
179,41,279694
180,41,289776
181,41,299852
182,41,310051
183,41,320336
184,41,331444
185,41,342416
186,41,353621
187,41,364653
188,41,374863
189,41,385741
190,41,395874
191,41,406838
192,41,417765
193,41,427973
194,41,438883
195,41,449894
196,41,459984
197,41,470181
198,41,481170
199,41,491283
200,41,502271
201,41,513282
202,41,523666
203,41,534569
204,41,545510
205,41,555713
206,41,566724
207,41,577849
208,41,588110
209,41,598240
210,41,609194
211,41,619420
212,41,630392
213,41,640486
214,41,650649
215,41,660773
216,41,671954
217,41,682081
218,41,692199
219,41,702437
220,41,712664
221,41,722914
222,41,733429
223,41,744448
224,41,754780
225,41,764856
226,41,774971
227,41,785527
228,41,795787
229,41,806000
230,41,816384
231,41,826518
232,41,836831
233,41,847225
234,41,858238
235,41,869308
236,41,879775
237,41,890707
238,41,901789
239,41,912131
240,41,923105
241,41,933323
242,41,943626
243,41,954526
244,41,964701
245,41,975628
246,41,986045
247,41,996358
248,42,7372
249,42,18440
250,42,28835
251,42,39014
252,42,49145
253,42,59285
254,42,70458
255,42,81433
256,42,91502
257,42,101680
258,42,112074
259,42,122257
260,42,133234
261,42,143601
262,42,154614
263,42,165584
264,42,176556
265,42,187526
266,42,198496
267,42,209471
268,42,220465
269,42,231433
270,42,241600
271,42,252644
272,42,263677
273,42,274800
274,42,285771
275,42,296728
276,42,307190
277,42,318186
278,42,328638
279,42,338722
280,42,348976
281,42,359089
282,42,369361
283,42,379597
284,42,390679
285,42,401649
286,42,412660
287,42,423732
288,42,434709
289,42,445790
290,42,455891
291,42,466849
292,42,476981
293,42,487103
294,42,497977
295,42,508220
296,42,519160
297,42,530154
298,42,541149
299,42,551440
300,42,561529
